圧
易
移
因
営
永
衛
液
益
演
往
応
恩
仮
価
可
河
過
賀
解
快
格
確
額
刊
幹
慣
眼
基
寄
規
技
義
逆
久
旧
居
許
境
興
均
禁
句
群
経
潔
件
券
検
険
減
現
限
個
故
護
効
厚
構
耕
講
鉱
混
査
再
妻
採
災
際
在
罪
財
桜
雑
賛
酸
師
志
支
枝
資
飼
似
示
識
質
舎
謝
授
修
術
述
準
序
承
招
証
常
情
条
状
織
職
制
勢
性
政
精
製
税
績
責
接
設
絶
舌
銭
祖
素
総
像
増
造
則
測
属
損
態
貸
退
団
断
築
張
提
程
敵
適
統
導
銅
徳
独
任
燃
能
破
判
版
犯
比
肥
非
備
俵
評
貧
婦
富
布
武
復
複
仏
編
弁
保
墓
報
豊
暴
貿
防
務
夢
迷
綿
輸
余
預
容
率
略
留
領
